ID_IDEFISC;CIRBE_CONCEDIDO;CIRBE_DISPUESTO;LP_C;LP_D;CP_C;CP_D;D_C;D_D;AV_CONCEDIDO;AV_D;LEAS_CONCEDIDO;L_D;SR_C;SR_D;MOROSO
495257339;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
503239097;;1;0;0;0;0;0;0;0;0;0;0;0;0;0
74311;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
A01053420;0,145829244;0,151930994;1358000;1350000;1537000;1519000;1388000;1388000;0;69000;0;0;0;0;0
A01471572;0,753954306;0,755415793;581000;581000;55000;55000;64000;64000;0;0;0;0;0;0;0
A02028793;0;0,294505495;566000;566000;0;0;76000;76000;0;0;0;0;0;0;74000
A02062602;0,064702484;0,064702484;1600000;1600000;0;0;0;0;0;19000;0;0;0;0;0
A03043809;0,05;0,313253012;60000;60000;41000;41000;13000;13000;0;0;0;0;0;0;114000
A03070216;0,017741935;0,017799353;433000;431000;154000;154000;22000;22000;0;0;0;0;0;0;30000
A03287489;0,038664323;0,038664323;260000;260000;153000;153000;132000;132000;0;0;0;2000;0;0;0
A03444031;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
A03813474;0,299106287;0,301224014;17959000;17669000;0;0;0;0;0;276000;0;0;38000;38000;1702000
A04040135;0,365638767;0,373913043;123000;123000;0;0;0;0;0;0;0;21000;0;0;144000
A05023601;0,059981256;0,540629096;299000;147000;628000;478000;70000;70000;0;6000;0;0;0;0;695000
A06065908;0,020058504;0,020075282;2209000;2207000;0;0;130000;130000;0;6000;0;0;0;0;691000
A07045248;0,158422335;0,160538458;3509000;3191000;528000;528000;2000000;2000000;0;8705000;0;137000;3087000;3087000;640000
A07108715;0;0,384615385;110000;110000;26000;26000;0;0;0;0;0;0;150000;0;45000
A07112618;0,697703035;0,703901437;248000;237000;379000;374000;0;0;0;60000;0;37000;13000;13000;0
A07474117;0,065396114;0,065745237;880000;880000;306000;306000;729000;729000;0;205000;0;24000;357000;357000;0
A08000366;0,005007108;0,005733583;45237000;39265000;3000;3000;0;0;0;246000;0;0;1411000;1411000;0
A08044513;0,371257485;0,410596026;105000;89000;0;0;0;0;0;0;0;0;0;0;0
A08062416;0;0,164948454;0;0;54000;54000;27000;27000;0;0;0;0;0;0;81000
A08088742;0,119496855;0,426229508;0;0;95000;95000;0;0;0;45000;0;0;0;0;95000
A08121329;;;;;;;;;0;;0;;;;
A08121345;;1;0;0;0;0;0;0;0;0;0;0;0;0;0
A08131161;0,042082739;0,581880448;4000;4000;1311000;1311000;28000;28000;0;0;0;0;0;0;1343000
A08134942;0,573059361;0,589961602;1154000;1153000;342000;342000;0;0;0;0;0;0;0;0;424000
A08141368;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
A08142275;0,008684035;0,011013767;2950000;2889000;530000;90000;972000;972000;0;0;0;0;0;0;0
A08142895;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
A08149718;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
A08157778;;;;;;;;;0;;0;;;;
A08192486;0;0,221092757;48000;48000;277000;268000;297000;297000;0;0;0;0;0;0;565000
A08194425;0,209204453;0,222119389;1305000;1277000;652000;299000;2583000;2182000;0;1000;0;661000;623000;623000;0
A08202764;;;;;;;;;0;;0;;;;
A08203333;;1;0;0;0;0;0;0;0;0;0;0;0;0;0
A08205940;0,53145917;0,580700049;1186000;1183000;372000;0;517000;517000;0;25000;0;0;0;0;0
A08219552;;;;;;;;;0;;0;;;;
A08227241;0;0,61958042;548000;548000;540000;540000;0;0;0;0;0;0;0;0;1088000
A08234924;0;0;0;0;93000;93000;10000;10000;0;0;0;0;0;0;103000
A08244402;0,028341632;0,065757819;924000;917000;790000;590000;407000;407000;0;0;0;416000;0;0;617000
A08258675;0;0;0;0;57000;57000;35000;35000;0;0;0;0;0;0;92000
A08262990;0,539473684;0,539473684;0;0;35000;35000;0;0;0;0;0;0;0;0;35000
A08269607;;1;0;0;0;0;0;0;0;0;0;0;0;0;0
A08274904;0,015267176;0,779863481;0;0;87000;87000;13000;13000;0;0;0;29000;0;0;129000
A08303869;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
A08322836;;;;;;;;;0;;0;;;;
A08340267;0,621676892;0,660556537;482000;449000;996000;901000;83000;83000;0;3000;0;0;101000;101000;0
A08343949;0,060765816;0,043051006;6767000;4620000;2423000;550000;496000;496000;0;131000;0;338000;0;0;888000
A08358772;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
