ID_IDEFISC;NOMBRE;ID_FCH_DATOS;FECHA_NACIMIENTO;Sector;CNAE;NOM_GRUP;FECHA_HATS;ALERTA_HATS;CONCURSAL;RECIENTE_CREACION;SEGMENTO_GESTION;SUBSEGMENTO_GESTION;DE_CORTA_TERRITORIAL_GEST;NOMBRE_REGIONAL_GEST;NOMBRE_CENTRO_GEST;OFICINA
495257339;BLAMAR SCI;2016-08-31;2007-03-19;TURISMO, HOSTELERÍA Y OCIO;Otros servicios personales n.c.o.p.;Sin Grupo de Riesgo;2016-08-30;VERDE;NO;NO;Empresas;Empresas de Red Comercial;T.NORTE;DIRECCION REGIONAL EMPRESAS NORTE;PAMPLONA-(BE);5193
503239097;EVEREST EDITORA, LIMITADA;2016-08-31;1994-05-19;BIENES DE CONSUMO;Edición de libros;Sin Grupo de Riesgo;2016-08-30;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.NOROESTE;DIRECCION REGIONAL EMPRESAS NOROESTE;LEON - BANCA EMPRESAS;5761
74311;FORMARK ASSOCIATES LIMITED;2016-08-31;2000-04-04;EDUCACIÓN, SANIDAD Y SERVIC;Actividades de organizaciones y organismos extraterritoriales;Sin Grupo de Riesgo;;SIN ALERTA;NO;NO;Empresas;Empresas de Red Comercial;T.ESTE;DIR.REG.MARINA BAIXA;LA NUCIA, PLA DE GARAITA;1241
A01053420;ELABORADOS Y FABRICADOS GAMIZ S.A.;2016-08-31;1989-10-02;CONSTRUCCIÓN;Comercio al por mayor de madera, materiales de construcción y aparatos sanitarios;Sin Grupo de Riesgo;2016-08-30;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.NORTE;DIRECCION REGIONAL VIZCAYA OESTE, ALAVA Y CANTABRI;VITORIA-GASTEIZ OP;5565
A01471572;ELGORRIAGA BRANDS SA;2016-08-31;2010-05-04;ALIMENTACIÓN Y BEBIDAS;Fabricación de cacao, chocolate y productos de confitería;Sin Grupo de Riesgo;2016-08-30;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.NORTE;DIRECCION REGIONAL VIZCAYA OESTE, ALAVA Y CANTABRI;VITORIA-GASTEIZ OP;5565
A02028793;MUSES, T.V., S.A.;2016-08-31;1985-10-22;BIENES DE CONSUMO;Comercio al por menor de aparatos electrodomésticos en establecimientos especializados;Sin Grupo de Riesgo;2016-08-30;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.CENTRO;DIRECCION REGIONAL CASTILLA LA MANCHA;LA RODA;5538
A02062602;CANJI, S.A.;2016-08-31;1988-03-09;INVERSIONES INMOBILIARIAS;Alquiler de bienes inmobiliarios por cuenta propia;Sin Grupo de Riesgo;2016-08-30;VERDE;NO;NO;Empresas;Empresas de Red Comercial;T.CENTRO;DIRECCION REGIONAL CASTILLA LA MANCHA;ALBACETE OP;250
A03043809;A BASTIDA S A;2016-08-31;1974-12-06;BIENES DE CONSUMO;Otro comercio al por menor en establecimientos no especializados;Sin Grupo de Riesgo;2016-08-30;ROJA;SI;NO;Empresas;Empresas de Red Comercial;T.ESTE;DIRECCION REGIONAL EMPRESAS ESTE;PATERNA-(BE);5228
A03070216;SOLER GARCIA, S.A.;2016-08-31;1979-09-24;TEXTIL Y CALZADO;"Preparación, curtido y acabado del cuero; preparación y teñido de pieles";Sin Grupo de Riesgo;2016-08-30;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.ESTE;DIRECCION REGIONAL ALCOY VINALOPO;VILLENA, JOAQUÍN MARÍA LÓPEZ;1021
A03287489;DECOBRIC SANTA FE, S.A.;2016-08-31;1987-06-02;CONSTRUCCIÓN;Comercio al por menor de ferretería, pintura y vidrio en establecimientos especializados;Sin Grupo de Riesgo;2016-08-30;AMARILLA;NO;NO;Empresas;Empresas de Red Comercial;T.ESTE;DIR.REG.MARINA BAIXA;ALTEA;554
A03444031;IBERICA DE TASACIONES, S A;2016-08-31;1989-05-05;SERVICIOS A EMPRESAS;Otras actividades profesionales, científicas y técnicas n.c.o.p.;Sin Grupo de Riesgo;2016-08-30;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.ESTE;DIR.REG.MARINA BAIXA;ALTEA;554
