ID_IDEFISC;NOMBRE;ID_FCH_DATOS;FECHA_NACIMIENTO;Sector;CNAE;CNAE_2;CNAE_NUM;NOM_GRUP;FECHA_HATS;ALERTA_HATS;CONCURSAL;RECIENTE_CREACION;SEGMENTO_GESTION;SUBSEGMENTO_GESTION;DE_CORTA_TERRITORIAL_GEST;NOMBRE_REGIONAL_GEST;NOMBRE_CENTRO_GEST;OFICINA
495257339;BLAMAR SCI;31/08/2016;19/03/2007;TURISMO, HOSTELERÍA Y OCIO;Otros servicios personales n.c.o.p.;Otros servicios personales;62;Sin Grupo de Riesgo;30/08/2016;VERDE;NO;NO;Empresas;Empresas de Red Comercial;T.NORTE;DIRECCION REGIONAL EMPRESAS NORTE;PAMPLONA-(BE);5193
503239097;EVEREST EDITORA, LIMITADA;31/08/2016;19/05/1994;BIENES DE CONSUMO;Edición de libros;Edición;37;Sin Grupo de Riesgo;30/08/2016;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.NOROESTE;DIRECCION REGIONAL EMPRESAS NOROESTE;LEON - BANCA EMPRESAS;5761
74311;FORMARK ASSOCIATES LIMITED;31/08/2016;04/04/2000;EDUCACIÓN, SANIDAD Y SERVIC;Actividades de organizaciones y organismos extraterritoriales;Actividades de organizaciones y organismos extraterritoriales;64;Sin Grupo de Riesgo;;SIN ALERTA;NO;NO;Empresas;Empresas de Red Comercial;T.ESTE;DIR.REG.MARINA BAIXA;LA NUCIA, PLA DE GARAITA;1241
A01053420;ELABORADOS Y FABRICADOS GAMIZ S.A.;31/08/2016;02/10/1989;CONSTRUCCIÓN;Comercio al por mayor de madera, materiales de construcción y aparatos sanitarios;Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;29;Sin Grupo de Riesgo;30/08/2016;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.NORTE;DIRECCION REGIONAL VIZCAYA OESTE, ALAVA Y CANTABRI;VITORIA-GASTEIZ OP;5565
A01471572;ELGORRIAGA BRANDS SA;31/08/2016;04/05/2010;ALIMENTACIÓN Y BEBIDAS;Fabricación de cacao, chocolate y productos de confitería;Industria de la alimentación;5;Sin Grupo de Riesgo;30/08/2016;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.NORTE;DIRECCION REGIONAL VIZCAYA OESTE, ALAVA Y CANTABRI;VITORIA-GASTEIZ OP;5565
A02028793;MUSES, T.V., S.A.;31/08/2016;22/10/1985;BIENES DE CONSUMO;Comercio al por menor de aparatos electrodomésticos en establecimientos especializados;Comercio al por menor, excepto de vehículos de motor y motocicletas;30;Sin Grupo de Riesgo;30/08/2016;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.CENTRO;DIRECCION REGIONAL CASTILLA LA MANCHA;LA RODA;5538
A02062602;CANJI, S.A.;31/08/2016;09/03/1988;INVERSIONES INMOBILIARIAS;Alquiler de bienes inmobiliarios por cuenta propia;Actividades inmobiliarias;44;Sin Grupo de Riesgo;30/08/2016;VERDE;NO;NO;Empresas;Empresas de Red Comercial;T.CENTRO;DIRECCION REGIONAL CASTILLA LA MANCHA;ALBACETE OP;250
A03043809;A BASTIDA S A;31/08/2016;06/12/1974;BIENES DE CONSUMO;Otro comercio al por menor en establecimientos no especializados;Comercio al por menor, excepto de vehículos de motor y motocicletas;30;Sin Grupo de Riesgo;30/08/2016;ROJA;SI;NO;Empresas;Empresas de Red Comercial;T.ESTE;DIRECCION REGIONAL EMPRESAS ESTE;PATERNA-(BE);5228
A03070216;SOLER GARCIA, S.A.;31/08/2016;24/09/1979;TEXTIL Y CALZADO;"Preparación, curtido y acabado del cuero; preparación y teñido de pieles";Industria del cuero y del calzado;6;Sin Grupo de Riesgo;30/08/2016;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.ESTE;DIRECCION REGIONAL ALCOY VINALOPO;VILLENA, JOAQUÍN MARÍA LÓPEZ;1021
A03287489;DECOBRIC SANTA FE, S.A.;31/08/2016;02/06/1987;CONSTRUCCIÓN;Comercio al por menor de ferretería, pintura y vidrio en establecimientos especializados;Comercio al por menor, excepto de vehículos de motor y motocicletas;30;Sin Grupo de Riesgo;30/08/2016;AMARILLA;NO;NO;Empresas;Empresas de Red Comercial;T.ESTE;DIR.REG.MARINA BAIXA;ALTEA;554
A03444031;IBERICA DE TASACIONES, S A;31/08/2016;05/05/1989;SERVICIOS A EMPRESAS;Otras actividades profesionales, científicas y técnicas n.c.o.p.;Otras actividades profesionales, científicas y técnicas;49;Sin Grupo de Riesgo;30/08/2016;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.ESTE;DIR.REG.MARINA BAIXA;ALTEA;554
A03813474;BLINKER ESPAÑA S.A;31/08/2016;27/11/1992;METALURGIA;Comercio al por mayor de ferretería, fontanería y calefacción;Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;29;Sin Grupo de Riesgo;30/08/2016;VERDE;NO;NO;Empresas;Empresas de Red Comercial;T.ESTE;DIRECCION REGIONAL EMPRESAS ESTE;ALICANTE- OFICINA DE B.DE EMPRESAS;5122
A04040135;MARTIN PALMERO SA;31/08/2016;20/03/1986;ALIMENTACIÓN Y BEBIDAS;Actividades de apoyo a la agricultura;Agricultura, ganadería, caza y servicios relacionados con las mismas;1;Sin Grupo de Riesgo;30/08/2016;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.SUR;DIRECCION REGIONAL ANDALUCIA ORIENTAL;(CARTERA) DO9  - DO9 -DIRECTOR OFICINA (SAC);625
A05023601;BV PROINVAL S.A.;31/08/2016;16/06/1988;METALURGIA;Comercio al por mayor no especializado;Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;29;Sin Grupo de Riesgo;30/08/2016;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.CENTRO;DIRECCION REGIONAL MADRID SUR;MOSTOLES -PI NIEVES;5337
A06065908;EL COTO DE GALAN, S.A.;31/08/2016;14/11/1987;ALIMENTACIÓN Y BEBIDAS;Comercio al por mayor de carne y productos cárnicos;Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;29;Sin Grupo de Riesgo;30/08/2016;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL EMPRESAS CATALUNYA;BARCELONA - SARRIA (B.E.);5084
A07045248;MELCHOR MASCARO, S.A.U.;31/08/2016;11/04/1975;CONSTRUCCIÓN;Construcción de carreteras y autopistas;Ingeniería civil;27;Sin Grupo de Riesgo;30/08/2016;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.ESTE;DIRECCION REGIONAL EMPRESAS ESTE;INCA POLIGONO , OF. EMPRESAS;5586
A07108715;CALIZAS MALLORCA, S.A.;31/08/2016;07/01/1983;CONSTRUCCIÓN;Corte, tallado y acabado de la piedra;Fabricación de otros productos minerales no metálicos;14;Sin Grupo de Riesgo;30/08/2016;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.ESTE;DIRECCION REGIONAL EMPRESAS ESTE;PALMA MALLORCA AG. POLIGON SON CASTELLO;221
A07112618;ROBOT, S.A.;31/08/2016;29/03/1983;SERVICIOS A EMPRESAS;Proceso de datos, hosting y actividades relacionadas;Servicios de información;40;Sin Grupo de Riesgo;30/08/2016;VERDE;NO;NO;Empresas;Empresas de Red Comercial;T.ESTE;DIR.REG.BALEARES SUR;PALMA DE MALLORCA AG. STA. CATALINA;159
A07474117;OBRAS Y PROMOCIONES COMAS, S.A.;31/08/2016;11/05/1990;CONSTRUCCIÓN;Construcción de edificios residenciales;Construcción de edificios;27;Sin Grupo de Riesgo;30/08/2016;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.ESTE;DIRECCION REGIONAL EMPRESAS ESTE;INCA POLIGONO , OF. EMPRESAS;5586
A08000366;S.A. VICHY CATALAN;31/08/2016;16/06/1900;ALIMENTACIÓN Y BEBIDAS;"Fabricación de bebidas no alcohólicas; producción de aguas minerales y otras aguas embotelladas";Fabricación de bebidas;5;Sin Grupo de Riesgo;30/08/2016;VERDE;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL EMPRESAS CATALUNYA;OF.BANCA D'EMPRESES BARCELONA -RAMBLA CATALUNYA;5029
A08044513;CLAROU GROUP, S.A.;31/08/2016;24/12/1940;ALIMENTACIÓN Y BEBIDAS;Comercio al por mayor de productos lácteos, huevos, aceites y grasas comestibles;Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;29;Sin Grupo de Riesgo;30/08/2016;VERDE;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL EMPRESAS CATALUNYA;BARCELONA 22@-(BE);5375
A08062416;FILOLANA, S.A.;31/08/2016;01/12/1966;TEXTIL Y CALZADO;Preparación e hilado de fibras textiles;Industria textil;6;Sin Grupo de Riesgo;;SIN ALERTA;NO;NO;Minorista;Minorista MP;T.CATALUNYA;DIRECCION REGIONAL VALLES OCCIDENTAL;SABADELL O.P.;900
A08088742;PLASTICOS CELULOSICOS, S.A.;31/08/2016;23/02/1988;QUIMICA;Fabricación de envases y embalajes de plástico;Fabricación de productos de caucho y plásticos;13;Sin Grupo de Riesgo;30/08/2016;ROJA;NO;NO;Minorista;Minorista MP;T.CATALUNYA;DIRECCION REGIONAL VALLES ORIENTAL - OSONA;PALAU-SOLITA I PLEGAMANS;901
A08121329;SAUER-HISPANIA, S.A.;31/08/2016;01/12/1966;QUIMICA;Fabricación de otros productos de caucho;Fabricación de productos de caucho y plásticos;13;Sin Grupo de Riesgo;30/08/2016;AMARILLA;SI;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL BAIX LLOBREGAT SUD;GAVA O.P.;8
A08121345;APRESTOS Y ACABADOS ESTRUCH, S.A.;31/08/2016;14/07/1987;TEXTIL Y CALZADO;Fabricación de tejidos textiles;Industria textil;6;Sin Grupo de Riesgo;30/08/2016;AMARILLA;NO;NO;Minorista;Minorista MP;T.CATALUNYA;DIRECCION REGIONAL VALLES OCCIDENTAL;SABADELL AG. PL. CATALUNYA;52
A08131161;NICOLAS BOSCH MIR, S.A.;31/08/2016;01/08/1954;TEXTIL Y CALZADO;Comercio al por mayor de textiles;Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;29;Sin Grupo de Riesgo;30/08/2016;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL EMPRESAS CATALUNYA;SABADELL - BANCA EMPRESAS;5154
A08134942;S.A. MARTIN LLOVERAS;31/08/2016;01/01/1926;ALIMENTACIÓN Y BEBIDAS;Fabricación de maquinaria para la industria de la alimentación, bebidas y tabaco;Fabricación de maquinaria y equipo n.c.o.p.;19;Sin Grupo de Riesgo;30/08/2016;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL EMPRESAS CATALUNYA;TERRASSA OF.EMPRESES;5098
A08141368;INVERSIONS FAMILIARS SBD 2009, S.A.;31/08/2016;08/03/1963;INVERSIONES INMOBILIARIAS;Alquiler de bienes inmobiliarios por cuenta propia;Actividades inmobiliarias;44;Sin Grupo de Riesgo;30/08/2016;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL VALLES OCCIDENTAL;(CARTERA) DO9  - DO9 -DIRECTOR OFICINA (SAC);42
A08142275;TORHO, S.A.;31/08/2016;01/04/1963;CONSTRUCCIÓN;Fabricación de elementos de hormigón para la construcción;Fabricación de otros productos minerales no metálicos;14;Sin Grupo de Riesgo;30/08/2016;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL EMPRESAS CATALUNYA;GIRONA-(BE);5174
A08142895;NESTFIL, S A;31/08/2016;;METALURGIA;Fabricación de cables de fibra óptica;Fabricación de material y equipo eléctrico;18;Sin Grupo de Riesgo;;SIN ALERTA;NO;SIN FECHA;Minorista;Minorista MP;T.CATALUNYA;DIRECCION REGIONAL BAIX LLOBREGAT NORD - ANOIA;(CARTERA) GPM9 - GPM9-DIRECTOR DE PYME (SAC);323
A08149718;ALCAZAR CINEMA, S.A.;31/08/2016;01/01/1967;TURISMO, HOSTELERÍA Y OCIO;Actividades de exhibición cinematográfica;Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical;38;Sin Grupo de Riesgo;30/08/2016;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL VALLES OCCIDENTAL;(CARTERA) GPYM - GPYM-DIRECTOR DE PYME;52
A08157778;LITOFAN, S.A.;31/08/2016;19/06/1964;PAPEL Y MADERA;Servicios de preimpresión y preparación de soportes;Artes gráficas y reproducción de soportes grabados;9;Sin Grupo de Riesgo;;SIN ALERTA;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL VALLES OCCIDENTAL;SABADELL AG. BERNAT METGE;264
A08192486;ALBERTO CHAVES SOLER, S.A.;31/08/2016;22/07/1992;METALURGIA;Comercio al por mayor no especializado;Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;29;Sin Grupo de Riesgo;30/08/2016;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL VALLES ORIENTAL - OSONA;PALAU-SOLITA I PLEGAMANS;60
A08194425;CONSORCIO MAYORISTA, S.A.;31/08/2016;01/12/1966;METALURGIA;Comercio al por mayor de ferretería, fontanería y calefacción;Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;29;Sin Grupo de Riesgo;30/08/2016;VERDE;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL EMPRESAS CATALUNYA;BARCELONA 22@-(BE);68
A08202764;GRAFICAS MENDOZA, S.A.;31/08/2016;06/05/1987;PAPEL Y MADERA;Servicios de preimpresión y preparación de soportes;Artes gráficas y reproducción de soportes grabados;9;Sin Grupo de Riesgo;;SIN ALERTA;SI;NO;Minorista;Minorista MP;T.CATALUNYA;DIRECCION REGIONAL BAIX LLOBREGAT SUD;EL PRAT DE LLOBREGAT O.P.;10
A08203333;S.A.SERRACANT;31/08/2016;01/12/1966;BIENES DE CONSUMO;Fabricación de maquinaria para las industrias textil, de la confección y del cuero;Fabricación de maquinaria y equipo n.c.o.p.;19;Sin Grupo de Riesgo;30/08/2016;AMARILLA;NO;NO;Minorista;Minorista MP;T.CATALUNYA;DIRECCION REGIONAL VALLES OCCIDENTAL;SABADELL O.P.;900
A08205940;PARXET, S.A.;31/08/2016;01/04/1977;ALIMENTACIÓN Y BEBIDAS;Elaboración de vinos;Fabricación de bebidas;5;Sin Grupo de Riesgo;30/08/2016;AMARILLA;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL EMPRESAS CATALUNYA;OF.BANCA D'EMPRESES BARCELONA -RAMBLA CATALUNYA;5029
