ID_IDEFISC;ID_EJER_BALAN;ID_FCH_BALANCE;VENTAS;DEPRECIACIONES;AMORTIZACIONES;EBITDA;RESULTADO_EXPLOTACION;EXISTENCIAS;DEUDORES_COMERCIALES;PERIODIFICACIONES_AC;PROVISIONES_CP;ACREEDORES_COMERCIALES;PERIODIFICACIONES_PC
503239097;2013;31/12/13;1.336.513,92;0;-106.295,14;-724.006,61;-830.301,75;2.229.637,27;2.616.914,00;0;0;1.615.525,63;0
A01053420;2011;31/12/11;4.404.020,33;-7.677,39;0;46.841,37;39.163,98;418.892,41;306.518,88;0;0;171.333,16;0
A01053420;2012;31/12/12;4.106.592,23;-7.690,11;0;55.231,84;47.541,73;649.508,61;325.358,77;0;0;153.509,73;0
A01053420;2013;31/12/13;4.287.964,69;-7.690,11;0;69.964,33;62.274,22;1.689.807,54;230.763,98;0;0;557.288,42;0
A01053420;2014;31/12/14;3.871.840,30;-6.675,31;0;102.599,21;95.923,90;2.406.744,92;573.046,20;0;0;469.599,51;0
A01471572;2011;31/12/11;4.005.730,62;-5.848,00;0;357.800,14;351.952,14;198.070,49;459.118,81;0;0;257.333,16;0
A01471572;2012;31/12/12;2.787.360,00;-72.000,00;0;26.121,00;-45.879,00;968.862,30;3.280.844,46;0;0;3.166.142,42;0
A01471572;2013;31/12/13;8.409.208,00;-72.000,00;0;-16.986,00;-88.986,00;1.629.995,00;2.554.816,00;42.422,00;0;1.995.039,00;0
A02028793;2011;31/12/11;615.277,65;-16.135,67;0;87.326,45;71.190,78;409.084,00;116.087,39;0;0;245.426,66;0
A02028793;2012;31/12/12;560.686,53;-11.922,49;0;81.326,82;69.404,33;437.284,20;105.519,25;0;0;170.560,70;0
A02028793;2013;31/12/13;409.044,75;-11.451,82;0;81.669,92;70.218,10;454.226,60;118.776,54;7.316,73;0;167.936,68;0
A02028793;2014;31/12/14;346.067,98;0;0;47.314,08;47.314,08;489.350,90;142.503,02;0;0;274.849,33;0
A02062602;2011;31/12/11;0;-24.883,68;0;169.207,24;144.323,56;0;205.135,05;0;0;128.533,85;0
A02062602;2012;31/12/12;0;-24.883,66;0;127.895,74;103.012,08;0;319.351,04;0;0;193.647,63;0
A02062602;2013;31/12/13;0;-23.255,11;0;31.575,56;8.320,45;0;494.840,15;0;0;37.335,36;0
A02062602;2014;31/12/14;0;-23.255,11;0;-20.788,14;-44.043,25;0;498.101,81;0;0;3.000,50;0
A03043809;2011;31/12/11;2.008.161,45;-8.199,99;0;41.487,82;33.287,83;1.384.054,12;43.772,09;0;0;535.085,08;0
A03043809;2012;31/12/12;1.775.073,76;-7.402,23;0;39.830,20;32.427,97;1.543.092,07;28.556,04;0;0;561.058,57;0
A03043809;2013;31/12/13;1.798.550,44;-7.368,54;0;43.052,61;35.684,07;1.621.212,37;24.206,61;0;0;640.510,93;0
