ID_IDEFISC;ID_FCH_DATOS;PRODUCTE;ID_CONTRATO;CONCEDIDO;MATRICULA;CONTR_GAR;IMPORTE_GARANTIA;FECTASFIN;GRPGARAN;TIPOGARAN;DES_SITSUBG;DES_TIPOBIEN;DES_SUBTIPO;DES_MADURA;DES_USOBIEN;DES_ESTADO;POBLACION;CODIGO_POSTAL;CALLE;PORTAL;PISO;DES_TIPOCARGA;NOMBRECARGA;CARGAS_OE
495257339;2016-08-31;Préstamos;8073006165;885.461,12;000719066284370;7071529025;1.651.763,57;2011-03-20;HIPO;Bien inmueble;Activa;Viviendas;Casa aislada;Producto acabado;Negocio;Incompleto;HENDAYA;64700;MAGNOLIES AVENUE;35;;;;
74311;2016-08-31;Préstamos;8073546027;248.280,78;000719130273762;7072053324;1.458.696,08;2007-01-31;HIPO;Bien inmueble;Activa;Viviendas;Casa aislada;Producto acabado;Negocio;Incompleto;ALHAURIN EL GRANDE;29120;CAMINO FUENTE DEL PERRO;0047;;;;
A01471572;2016-08-31;Préstamos;8074966570;2.144.999,98;000719128553733;7073208836;6.217.162,79;2012-04-02;HIPO;Bien inmueble;Activa;Naves/Oficinas/Locales;Nave Industrial;Producto acabado;Comercial;Completo;AVILA;5002;CTRA AVILA-PIEDRAHITA-POLIGONO;24;;;;
A03444031;2016-08-31;Préstamos;8074509639;60.952,78;000719006730945;7072802383;140.797,35;2013-12-12;HIPO;Bien inmueble;Activa;Viviendas;Piso;Producto acabado;Alquiler;Completo;ALTEA;3590;LA MAR;19;2;;;
A03813474;2016-08-31;Préstamo sindicado;8970102177;1.217.862,36;000719021229051;7073624304;84.646,22;2012-12-20;HIPO;Bien inmueble;Activa;Naves/Oficinas/Locales;Local;Producto acabado;Comercial;Completo;ALICANTE/ALACANT;3114;FLORIN;24;;;;
A03813474;2016-08-31;Préstamo sindicado;8970102177;1.217.862,36;000719021229180;7073624316;84.646,22;2012-12-20;HIPO;Bien inmueble;Activa;Naves/Oficinas/Locales;Local;Producto acabado;Comercial;Completo;ALICANTE/ALACANT;3114;C/ DWEL FLORIN, POL. ATALAYAS;17;;;;
A03813474;2016-08-31;Préstamo sindicado;8970102177;1.217.862,36;000719021229341;7073623810;0,00;;HIPO;Bien inmueble;Activa;Naves/Oficinas/Locales;Local;Producto acabado;Comercial;Completo;ALICANTE/ALACANT;3114;PARCELA 13 POL. ATALAYAS;;;;;
A03813474;2016-08-31;Préstamo sindicado;8970102177;1.217.862,36;000719021229502;7073623810;0,00;;HIPO;Bien inmueble;Activa;Terrenos;Solar;Suelo pendiente de clasificar;Otros Usos;Completo;ALICANTE/ALACANT;3114;PARCELA 13 POL. ATALAYAS;;;;;
A03813474;2016-08-31;Préstamo sindicado;8970102177;1.217.862,36;000719021229631;7073623810;0,00;;HIPO;Bien inmueble;Activa;Terrenos;Solar;Suelo pendiente de clasificar;Otros Usos;Completo;ALICANTE/ALACANT;3114;PARCELA 13 POL. ATALAYAS;;;;;
A03813474;2016-08-31;Préstamo sindicado;8970102178;2.504.671,53;000719021229051;7073624375;84.646,22;2012-12-20;HIPO;Bien inmueble;Activa;Naves/Oficinas/Locales;Local;Producto acabado;Comercial;Completo;ALICANTE/ALACANT;3114;FLORIN;24;;;;
A03813474;2016-08-31;Préstamo sindicado;8970102178;2.504.671,53;000719021229180;7073624399;84.646,22;2012-12-20;HIPO;Bien inmueble;Activa;Naves/Oficinas/Locales;Local;Producto acabado;Comercial;Completo;ALICANTE/ALACANT;3114;C/ DWEL FLORIN, POL. ATALAYAS;17;;;;
A03813474;2016-08-31;Préstamo sindicado;8970102178;2.504.671,53;000719021229341;7073623867;0,00;;HIPO;Bien inmueble;Activa;Naves/Oficinas/Locales;Local;Producto acabado;Comercial;Completo;ALICANTE/ALACANT;3114;PARCELA 13 POL. ATALAYAS;;;;;
A03813474;2016-08-31;Préstamo sindicado;8970102178;2.504.671,53;000719021229502;7073623867;0,00;;HIPO;Bien inmueble;Activa;Terrenos;Solar;Suelo pendiente de clasificar;Otros Usos;Completo;ALICANTE/ALACANT;3114;PARCELA 13 POL. ATALAYAS;;;;;
