Sector_Desc;COD_SEC20;PERCENTIL_SEC20;IDENTIFICADOR;Antiguedad;Total_Activo;Activo_Corriente;Activo_NoCorriente;Total_Pasivo;Pasivo_Corriente;Pasivo_NoCorriente;Fondos_Propios;Importe_CifraNegocios;Gastos_Financieros;Resultado_AntesImpuestos;R_Solvencia;R_Endeudamiento;R_Endeudamiento_CP;R_Autonomia;R_Cobertura_Inmovilizado_FFPP;R_Rentabilidad_Economica;R_Autonomia_Financiera;R_Dependencia_Financiera;R_Gastos_Financieros;R_Rentabilidad_Financiera;R_Rentabilidad_Inversion;R_Resultados_Sobre_Ventas
Agricultura;1;25;125;10;412134;91798;204974;412134;56210;818;76333;55038;140;-20188;0,2874;0,0966;0,0323;0,2011;0,313;-0,0215;0,1679;0,1794;0,001;-0,0274;-0,0509;-0,2322
Agricultura;1;50;150;16;1045757;262011;603369;1045757;199055;80005;390125;178245;3689;3567;0,7213;0,6628;0,3101;0,9272;0,7975;0,0042;0,483;0,517;0,0174;0,0174;0,0078;0,0131
Agricultura;1;75;175;23;2759976;704307;1827301;2759976;509252;389697;1418173;523123;17948;28658;1,5971;2,6595;1,4279;4,4351;1,1911;0,0283;0,8206;0,8321;0,0783;0,0947;0,094;0,1128
Ganaderia y Pesca;2;25;225;9;299880;84838;102048;299880;72895;1230;24339;93923;330;-15949;0,3023;0,1233;0,0516;0,0758;0,1468;-0,0332;0,0713;0,3701;0,0012;-0,0226;-0,0551;-0,1154
Ganaderia y Pesca;2;50;250;16;736246;251269;349995;736246;201049;102356;176500;396022;4790;3020;0,6943;1,05;0,4843;0,4409;0,6069;0,0054;0,3082;0,6918;0,0113;0,0391;0,0085;0,0074
Ganaderia y Pesca;2;75;275;22;1764629;663394;920119;1764629;540008;390924;649721;1067466;17787;25912;1,2324;4,0499;2,0449;1,6879;1,2325;0,0367;0,6299;0,9287;0,0413;0,168;0,0702;0,0519
Energia;3;25;325;7;400005;134553;113792;400005;112856;0;50898;134102;773;-18631;0,2934;0,2028;0,1066;0,107;0,1703;-0,0235;0,0967;0,3517;0,0011;-0,0218;-0,0382;-0,0629
Energia;3;50;350;14;844636;343147;392466;844636;265199;90291;234118;606196;6944;4958;0,7433;1,0417;0,5768;0,473;0,6537;0,0075;0,3211;0,6789;0,0098;0,0458;0,0121;0,0058
Energia;3;75;375;22;2140364;782621;1199583;2140364;584004;485373;797221;2186243;23404;41053;1,5121;3,7573;1,9328;1,843;1,5724;0,0424;0,6483;0,9033;0,0724;0,188;0,0859;0,0649
Construcción;4;25;425;8;241888;84593;37202;241888;63214;529;8146;52667;227;-36962;0,3989;0,0498;0,0094;0,026;0,0857;-0,0593;0,0259;0,4296;0,0014;-0,0697;-0,0931;-0,3417
Construcción;4;50;450;13;676516;281218;189039;676516;193698;88408;118670;190126;4227;-1060;0,8674;1,0087;0,4519;0,3041;0,7012;-0,0017;0,2347;0,7653;0,0179;0,0186;-0,0025;-0,0074
Construcción;4;75;475;19;1867763;942193;676272;1867763;534722;426428;551387;583165;18784;11309;1,3538;4,2206;2,2653;1,305;1,8494;0,018;0,5704;0,9741;0,0881;0,1869;0,0323;0,0383
Promocción Inmobiliaria;4,5;25;4,525;8;795682;175749;72325;795682;51717;79698;40097;14322;1124;-66342;0,3581;0,038;0,0047;0,0285;0,1352;-0,0304;0,0286;0,3326;0,0153;-0,0684;-0,055;-1,5318
Promocción Inmobiliaria;4,5;50;4,550;12;2024871;920607;500415;2024871;257836;538032;375198;66106;12614;-7737;0,9384;0,917;0,1867;0,3334;0,7808;-0,0053;0,2532;0,7468;0,1504;0,0002;-0,0085;-0,1642
Promocción Inmobiliaria;4,5;75;4,575;19;5480350;3216817;1701031;5480350;922166;2099675;1521581;312596;58041;10698;1,4573;5,239;1,3875;1,926;2,2087;0,0068;0,6674;0,9714;0,7288;0,084;0,0143;0,1099
Metalurgia y Maquinaria;5;25;525;9;215404;122386;39413;215404;86916;0;18058;179789;608;-26081;0,5592;0,2376;0,1613;0,0782;0,2106;-0,0692;0,0725;0,4076;0,0018;-0,0659;-0,1034;-0,0953
Metalurgia y Maquinaria;5;50;550;16;513315;292898;147469;513315;201868;50042;125317;446210;4520;1598;0,9584;1,0476;0,6659;0,4537;0,8853;0,0035;0,3121;0,6879;0,0108;0,0331;0,0052;0,0042
Metalurgia y Maquinaria;5;75;575;23;1272777;743845;451952;1272777;479469;228339;488290;1078892;16707;17016;1,6737;3,5707;2,242;1,4536;2,3669;0,028;0,5924;0,9275;0,0304;0,1805;0,0529;0,0269
