;REFERENCIA_ORIGEN;REFERENCIA_1;IMPORTE
0;495257339;B55591549;11
1;495257339;B59838565;4
2;495257339;B61343786;8
3;495257339;B64798374;12
4;495257339;B64838014;3
5;495257339;B66146002;9
6;495257339;B66199860;7
7;495257339;B66245200;3
8;495257339;B81554800;9
9;A01053420;A28949386;2
10;A01053420;B08142655;1
11;A01053420;B54619663;2
12;A01053420;B58434903;1
13;A01053420;B60488038;12
14;A01053420;B61275624;3
15;A01053420;B63042667;4
16;A01053420;B65571101;12
17;A01053420;B83749689;12
18;A01053420;B86203213;11
19;A01053420;B96679071;2
20;A01471572;B96184874;5
21;A02028793;A78392230;11
22;A02028793;B08246209;5
23;A02028793;B43484880;7
24;A02028793;B46667002;3
25;A02028793;B59187831;2
26;A02028793;B86157435;5
27;A02062602;A08141368;6
28;A02062602;A08616468;1
29;A02062602;A08720492;5
30;A02062602;A08793507;2
31;A02062602;A08804379;6
32;A02062602;A46076485;12
33;A02062602;A58041237;11
34;A02062602;A58453739;7
35;A02062602;A58484932;5
36;A02062602;A58628017;3
37;A02062602;A58696311;11
38;A02062602;A58961459;7
39;A02062602;B03702495;12
40;A02062602;B08298093;8
41;A02062602;B08321630;1
42;A02062602;B08344590;12
43;A02062602;B08424673;12
44;A02062602;B13161864;1
45;A02062602;B17362856;3
46;A02062602;B17411471;1
47;A02062602;B17504044;7
48;A02062602;B17638453;3
49;A02062602;B17743428;5
50;A02062602;B17908377;7
51;A02062602;B25009069;4
52;A02062602;B25621574;8
53;A02062602;B30063929;8
54;A02062602;B31230865;5
55;A02062602;B33454976;8
56;A02062602;B33661182;11
57;A02062602;B35470400;6
58;A02062602;B40222176;4
59;A02062602;B43245174;10
60;A02062602;B43646835;5
61;A02062602;B43739804;6
62;A02062602;B46104634;7
63;A02062602;B53337804;2
64;A02062602;B53825543;2
65;A02062602;B54140884;1
66;A02062602;B55097679;9
67;A02062602;B55542575;12
68;A02062602;B55560080;3
69;A02062602;B58193285;4
70;A02062602;B58245705;6
71;A02062602;B58291212;2
72;A02062602;B58559311;2
73;A02062602;B58761370;7
74;A02062602;B58831348;5
75;A02062602;B58887597;1
76;A02062602;B59505693;1
77;A02062602;B59572842;9
78;A02062602;B59724195;7
79;A02062602;B59827832;1
80;A02062602;B59849315;1
81;A02062602;B59974980;4
82;A02062602;B60745767;2
83;A02062602;B60778651;11
84;A02062602;B61068763;1
85;A02062602;B61182002;11
86;A02062602;B61339396;5
87;A02062602;B61351730;11
88;A02062602;B61369120;10
89;A02062602;B61461364;4
90;A02062602;B61609277;3
91;A02062602;B61685103;5
92;A02062602;B61884292;5
93;A02062602;B61926523;11
94;A02062602;B62024682;12
95;A02062602;B62027669;9
96;A02062602;B62068556;10
97;A02062602;B62109830;9
98;A02062602;B62114673;11
99;A02062602;B62123294;5
100;A02062602;B62297346;9
101;A02062602;B62300702;5
102;A02062602;B62429998;1
103;A02062602;B62524798;2
104;A02062602;B62571443;1
105;A02062602;B62643812;7
106;A02062602;B62812433;7
107;A02062602;B62966320;4
108;A02062602;B62967542;6
109;A02062602;B62992052;10
110;A02062602;B63016307;2
111;A02062602;B63016372;8
112;A02062602;B63016604;5
113;A02062602;B63048714;11
114;A02062602;B63190433;7
115;A02062602;B63322903;9
116;A02062602;B63359491;3
117;A02062602;B63360879;5
118;A02062602;B63478606;12
119;A02062602;B63515522;11
120;A02062602;B63799720;2
121;A02062602;B63820062;2
122;A02062602;B63856082;10
123;A02062602;B63891956;7
124;A02062602;B63935548;3
125;A02062602;B64061187;1
126;A02062602;B64127525;3
127;A02062602;B64343338;11
128;A02062602;B64343841;12
129;A02062602;B64371693;11
130;A02062602;B64400583;8
131;A02062602;B64403942;7
132;A02062602;B64645690;12
133;A02062602;B64872229;10
134;A02062602;B65292120;2
135;A02062602;B65958944;5
136;A02062602;B74027863;4
137;A02062602;B78343399;3
138;A02062602;B79124095;1
139;A02062602;B82026659;9
140;A02062602;B82050139;2
141;A02062602;B82220138;11
142;A02062602;B82224577;6
143;A02062602;B82337072;2
144;A02062602;B83720201;11
145;A02062602;B84561166;9
146;A02062602;B85208627;10
147;A02062602;B92018878;5
148;A02062602;B92362953;6
149;A02062602;B92380815;12
150;A02062602;B92705649;7
151;A02062602;B93081511;11
152;A02062602;B95425153;9
153;A02062602;B96060777;1
154;A02062602;B99033375;3
155;A02062602;E64180466;4
156;A02062602;E83807784;10
157;A02062602;J61518874;1
158;A02062602;N41064814;6
159;A03043809;B30731061;1
160;A03043809;B32256398;2
161;A03043809;B35616788;11
162;A03043809;B60138062;4
163;A03043809;B62137476;1
164;A03070216;B60536588;1
165;A03287489;B08869612;9
166;A03287489;B12302063;7
167;A03287489;B17565912;4
168;A03287489;B43113034;1
169;A03287489;B59807867;7
170;A03287489;B61252748;2
171;A03287489;B62484407;1
172;A03444031;B03761822;5
173;A03444031;B61074464;3
174;A03444031;B64331135;7
175;A03444031;B66153172;11
176;A03444031;B86363447;10
177;A03444031;B86654159;1
178;A03444031;J66198987;5
179;A03813474;A43095322;7
180;A03813474;A78321825;7
181;A03813474;B46409421;4
182;A03813474;B55568166;12
183;A03813474;B59655381;2
184;A03813474;B60300647;3
185;A03813474;B61740718;3
186;A03813474;B64215445;3
187;A03813474;B85808723;7
188;A04040135;B30414700;12
189;A04040135;F96556204;3
190;A05023601;A08192486;6
191;A05023601;A11905833;11
192;A05023601;B21395314;10
193;A05023601;B30623508;1
194;A05023601;B33830100;12
195;A05023601;B36926095;1
196;A05023601;B43113356;2
197;A05023601;B43869494;3
198;A05023601;B60948619;7
199;A05023601;B62219894;1
200;A05023601;B63198170;2
201;A05023601;B63410260;5
202;A05023601;B64960131;3
